รหัสพัสดุ		รายการ		กก./ชุด		หน่วย
1-02-001-0004	|	สายอลูมิเนียมเปลือย 95 ตร.มม. มอก.85	|	0.261	|	เมตร/กก
1-02-001-0005	|	สายอลูมิเนียมเปลือย 120 ตร.มม. มอก.85	|	0.332	|	เมตร/กก
1-02-001-0007	|	สายอลูมิเนียมเปลือย 185 ตร.มม. มอก.85	|	0.506	|	เมตร/กก
1-02-001-0008	|	สายอลูมิเนียมเปลือย 240 ตร.มม. มอก.85	|	0.663	|	เมตร/กก
1-02-001-0009	|	สายอลูมิเนียมเปลือย 400 ตร.มม. มอก.85	|	1.083	|	เมตร/กก
1-02-007-0000	|	"CABLE,AL,750 V,25 SQ.MM. TIS.293"	|	0.114	|	เมตร/กก
1-02-007-0001	|	"CABLE,AL,750 V,35 SQ.MM. TIS.293"	|	0.15	|	เมตร/กก
1-02-007-0002	|	"CABLE,AL,750 V,50 SQ.MM. TIS.293"	|	0.204	|	เมตร/กก
1-02-007-0003	|	"CABLE,AL,750 V,70 SQ.MM. TIS.293"	|	0.27	|	เมตร/กก
1-02-007-0004	|	"CABLE,AL,750 V,95 SQ.MM. TIS.293"	|	0.369	|	เมตร/กก
1-02-007-0005	|	"CABLE,AL,750 V,120 SQ.MM.TIS.293"	|	0.45	|	เมตร/กก
1-02-033-0104	|	ฮอทไลน์แค้ม	|	0.3	|	กก
1-02-033-0005	|	เบลแค้ม	|	0.3	|	กก
1-02-007-0007	|	"CABLE,AL,750 V,185 SQ.MM.TIS.293"	|	0.691	|	เมตร/กก
1-02-007-0100	|	"CABLE,AL,SOLID,PVCINSULATED, 10 SQ.MM."	|	0.106	|	เมตร/กก
1-02-007-0101	|	"CABLE,AL,SOLID,PVCINSULATED, 16 SQ.MM."	|	0.144	|	เมตร/กก
1-02-002-0000	|	"COND.,ACSR 25/4 SQ.MM.TIS.86"	|	0.096	|	เมตร/กก
1-02-002-0001	|	"COND.,ACSR 35/6 SQ.MM.TIS.86"	|	0.139	|	เมตร/กก
1-02-002-0002	|	"COND.,ACSR 50/8 SQ.MM.TIS.86"	|	0.197	|	เมตร/กก
1-02-002-0005	|	"CONDUCTOR,ACSR 120/20 SQ.MM.TIS.86"	|	0.491	|	เมตร/กก
1-02-002-0007	|	"CONDUCTOR,ACSR 185/30 SQ.MM.TIS.86"	|	0.744	|	เมตร/กก
1-02-002-0008	|	"CONDUCTOR, ACSR 380/50 SQ.MM. TIS.86"	|	1.462	|	เมตร/กก
1-02-006-0001	|	"PIC,22 KV. 50 SQ.MM."	|	0.217	|	เมตร/กก
1-02-006-0002	|	"PIC,22 KV. 95 SQ.MM."	|	0.383	|	เมตร/กก
1-02-006-0003	|	"PIC,22 KV. 120 SQ.MM."	|	0.467	|	เมตร/กก
1-02-006-0004	|	"PIC,22 KV. 185 SQ.MM."	|	0.68	|	เมตร/กก
1-02-006-0101	|	"PIC,33 KV. 50 SQ.MM."	|	0.267	|	เมตร/กก
1-02-006-0102	|	"PIC,33 KV. 95 SQ.MM."	|	0.441	|	เมตร/กก
1-02-006-0103	|	"PIC,33 KV. 120 SQ.MM."	|	0.537	|	เมตร/กก
1-02-006-0104	|	"PIC,33 KV. 185 SQ.MM."	|	0.769	|	เมตร/กก
1-02-005-0000	|	"CABLE,AERIAL,AL 22 KV. 1X50 SQ.MM."	|	0.444	|	เมตร/กก
1-02-005-0001	|	"CABLE,AERIAL,AL 22 KV. 1X95 SQ.MM."	|	0.642	|	เมตร/กก
1-02-005-0002	|	"CABLE,AERIAL,AL 22 KV. 1X120 SQ.MM."	|	0.743	|	เมตร/กก
1-02-005-0004	|	"CABLE,AERIAL,AL 22 KV. 1X185 SQ.MM."	|	0.985	|	เมตร/กก
1-02-005-0100	|	"CABLE,AERIAL,AL 33 KV. 1X50 SQ.MM."	|	0.53	|	เมตร/กก
1-02-005-0104	|	"CABLE,AERIAL,AL 33 KV. 1X185 SQ.MM."	|	1.092	|	เมตร/กก
1-02-005-0202	|	CABLE TWISTEDAL.22KV.31x120 Sq.mm.	|	3.965	|	เมตร/กก
1-02-005-0204	|	CABLE TWISTEDAL.22KV.31x240 Sq.mm. (TAC)	|	5.693	|	เมตร/กก
1-02-005-0300	|	"CABLE,TAC, H.T. AL.33 KV.31X50 SQ.MM."	|	3.188	|	เมตร/กก
1-02-005-0304	|	CABLE TWISTEDAL.33KV.31x240 Sq.mm. (TAC)	|	6.678	|	เมตร/กก
1-02-003-0000	|	"COND.,ALALLOY 25 SQ.MM. TIS.725"	|		|	เมตร/กก
1-02-003-0007	|	"COND.,ALALLOY 185 SQ.MM.TIS.725"	|	0.5	|	เมตร/กก
1-02-000-0005	|	"COND.,CU,BARE 50 SQ.MM.TIS.64"	|	0.451	|	เมตร/กก
1-02-000-0007	|	"COND.,CU,BARE 95 SQ.MM.TIS 64"	|	0.855	|	เมตร/กก
1-02-008-0500	|	"CABLE,CU,PVC,INS.&JAC. 600 V, 2X6 SQ.MM."	|	0.24	|	เมตร/กก
1-02-008-0501	|	"CABLE,CU,PVC,INS.&JAC. 600 V, 2X10 SQ.MM."	|	0.35	|	เมตร/กก
1-02-008-0502	|	"CABLE,CU,PVC,INS.&JAC,600V.2X35 SQ.MM."	|	0.95	|	เมตร/กก
1-02-008-0009	|	สายเคเบิลทองแดงหุ้มด้วยฉนวนและเปลือกนอกพีวีซี 750 โวลท์ 1x50 ตร.มม.	|	0.64	|	เมตร/กก
1-02-008-0011	|	สายเคเบิลทองแดงหุ้มด้วยฉนวนและเปลือกนอกพีวีซี.750 โวลท์ 1x95 ตร.มม.	|	1.136	|	เมตร/กก
1-02-008-0012	|	สายเคเบิลทองแดงหุ้มด้วยฉนวนและเปลือกนอกพีวีซี.750 โวลท์ 1x120 ตร.มม.	|	1.415	|	เมตร/กก
1-02-008-0612	|	สายเคเบิลทองแดงแกนเดียวหุ้มด้วยฉนวน พีวีซี 750 โวลท์ 1x95 ตร.มม.	|	0.997	|	เมตร/กก
1-02-008-9954	|	สายทองแดงหุ้มฉนวนใช้ภายนอก 0.6/1 เควี 2.5 ตร.มม.	|	0.064	|	เมตร/กก
1-02-008-9957	|	สายทองแดงหุ้มฉนวนใช้ภายนอก 0.6/1 เควี 10 ตร.มม.	|	0.152	|	เมตร/กก
1-02-008-0481	|	CABLE PVC. FLEX. CU. 600 V. 1X2.5 SQ.MM	|	0.035	|	เมตร/กก
1-02-004-0000	|	"CABLE,UG,CU 22 KV. 1X35 SQ.MM."	|	0.896	|	เมตร/กก
1-02-004-0001	|	"CABLE,UG,CU 22 KV. 1X50 SQ.MM."	|	1.056	|	เมตร/กก
1-02-004-0003	|	"CABLE,UG,CU 22 KV. 1X95 SQ.MM."	|	1.58	|	เมตร/กก
1-02-004-0004	|	"CABLE,UG,CU 22 KV. 1X120 SQ.MM."	|	1.86	|	เมตร/กก
1-02-004-0006	|	"CABLE,UG,CU 22 KV. 1X185 SQ.MM."	|	2.614	|	เมตร/กก
1-02-004-0007	|	"CABLE,UG,CU 22 KV. 1X240 SQ.MM."	|	3.304	|	เมตร/กก
1-02-004-0008	|	"CABLE,UG,CU 22 KV. 1X500 SQ.MM."	|	5.934	|	เมตร/กก
1-02-004-0009	|	"CABLE,UG,CU 22 KV. 1 X 400 SQ.MM"	|	4.846	|	เมตร/กก
1-02-004-0101	|	"CABLE,UG,CU 33 KV. 1X50 SQ.MM."	|	1.318	|	เมตร/กก
1-02-004-0107	|	"CABLE,UG,CU 33 KV. 1X240 SQ.MM."	|	3.663	|	เมตร/กก
1-02-004-0108	|	"CABLE UG,CU.33 KV. 1 X 400 SQ.MM."	|	5.238	|	เมตร/กก
1-02-004-0109	|	"CABLE,UG,CU.33 KV. 1 X 500 SQ.MM."	|	6.375	|	เมตร/กก
1-02-004-0200	|	"CABLE, UG, CU., 115 KV 1X800 SQ.MM."	|	13.045	|	เมตร/กก
1-02-004-0202	|	"CABLE,UG,CU,115KV,1X300SQ.MM.,ROUND TYPE"	|	6.2	|	เมตร/กก
1-02-004-0300	|	"CABLE,CV, 0.6/1 KV 1X35 SQ.MM."	|	0.409	|	เมตร/กก
1-02-004-0301	|	"CABLE,CV, 0.6/1 KV 1X50 SQ.MM."	|	0.543	|	เมตร/กก
1-02-004-0303	|	"CABLE,CV, 0.6/1 KV 1X95 SQ.MM."	|	1.009	|	เมตร/กก
1-02-004-0305	|	"CABLE,CV, 0.6/1 KV 1X150 SQ.MM."	|	1.555	|	เมตร/กก
1-02-004-0306	|	"CABLE,CV, 0.6/1 KV 1X185 SQ.MM."	|	1.915	|	เมตร/กก
1-02-004-0307	|	"CABLE,UG.CV.0.6/1 KV.1X240 SQ.MM."	|	2.495	|	เมตร/กก
1-02-008-9909	|	สายทองแดงหุ้มฉนวนใช้ใต้ดิน 0.6/1 เควี 50 ตร.มม.	|	0.537	|	เมตร/กก
1-02-009-0001	|	"CABLE,SUBMARINE,CU 22KV 3X120 SQ.MM.,OP"	|	26.275	|	เมตร/กก
1-02-009-0100	|	"CABLE,SUBMARINE,CU 33KV 3X70 SQ.MM.,OP"	|	25	|	เมตร/กก
1-02-009-0101	|	"CABLE,SUBMARINE,CU 33KV 3X120 SQ.MM.,OP"	|	26.5	|	เมตร/กก
1-02-008-0401	|	"CONTROL CABLE,4X4 SQ.MM.TIS.838 TABLE10"	|	0.56	|	เมตร/กก
1-02-008-0402	|	"CONTROL CABLE,7X2.5 SQ.MM.TIS.838TABLE10"	|	0.62	|	เมตร/กก
1-02-008-0403	|	"CONTROL CABLE,12X4 SQ.MM.TIS.838 TABLE10"	|	1.31	|	เมตร/กก
1-02-008-0406	|	"CONTROL CABLE,4X6 SQ.MM. TIS.838 TABLE10"	|	0.683	|	เมตร/กก
1-02-008-0407	|	CONTROL CABLE 2X4 SQ.MM.TIS838 TABLE10	|	0.407	|	เมตร/กก
1-02-008-0409	|	CONTROL CABLE 12X2.5 SQ.MM.TIS838TABLE10	|	1.04	|	เมตร/กก
1-02-008-0415	|	"CONTROL CABLE,24x2.5 SQ.MM.TIS838TABLE10"	|	1.797	|	เมตร/กก
1-02-008-0418	|	CONTROL CABLE 4X10 SQ.MM. TIS838 TABLE10	|	1.083	|	เมตร/กก
1-02-008-0453	|	"CONTROL CABLE,4X2.5 SQ.MM.TIS.838 TABLE4"	|	0.31	|	เมตร/กก
1-02-008-0455	|	"CONTROL CABLE,12X2.5 SQ.MM.TIS.838TABLE4"	|	0.807	|	เมตร/กก
1-02-008-0457	|	"CONTROL CABLE, 2X4 SQ.MM. TIS.838 TABLE4"	|	0.24	|	เมตร/กก
1-01-010-0002	|	"ST. WIRE, STRANDED 25 SQ.MM.TIS.404"	|	0.2	|	เมตร/กก
1-01-011-0400	|	"BOLT,MACHINE,HEXAGON,M.16X75 MM."	|	1	|	กก
1-03-000-0001	|	"INSULATOR,PIN TYPE,CLASS 56-2"	|		|	กก
1-03-003-0000	|	"INSULATOR,SPOOL,CLASS 53-2 TIS.227"	|		|	
1-04-001-0002	|	ดรอพเอาท์ฟิวส์คัทเอาท์ หนึ่งอินซูเลเตอร์ 22 เควี 100 แอมป์	|	1	|	กก
1-01-010-0004	|	ลวดเหล็ก 50	|	0.3	|	
1-03-001-0101	|	ลูกถ้วยพินโพทส์	|	0.2	|	กก.
1-02-033-0005	|	เบลแคล้ม 35-70 มม.	|	0.1	|	กก.
1-02-033-0104	|	ฮอตไลน์แคล้มป์	|	0.1	|	กก.
